restaurant_id,restaurant_name,cuisine,area,price_level,rating,delivery_time_min,ambience,dietary_type,tags
244,Restaurant 244,Biryani,North,4,3.88,40,Fine Dining,Vegan Friendly,Biryani North Fine Dining Vegan Friendly price_4
245,Restaurant 245,Biryani,Riverside,1,4.75,35,Cafe,Vegetarian,Biryani Riverside Cafe Vegetarian price_1
246,Restaurant 246,North Indian,Central,2,3.58,28,Fine Dining,Vegetarian,North Indian Central Fine Dining Vegetarian price_2
247,Restaurant 247,Cafe,West,2,3.15,33,Fine Dining,Vegetarian,Cafe West Fine Dining Vegetarian price_2
248,Restaurant 248,Mexican,Tech Park,1,3.26,33,Family,Vegetarian,Mexican Tech Park Family Vegetarian price_1
249,Restaurant 249,Cafe,Tech Park,3,4.11,32,Fine Dining,Mixed,Cafe Tech Park Fine Dining Mixed price_3
250,Restaurant 250,North Indian,Market,2,4.11,53,Quick Bites,Mixed,North Indian Market Quick Bites Mixed price_2
251,Restaurant 251,South Indian,Riverside,2,4.05,34,Fine Dining,Vegetarian,South Indian Riverside Fine Dining Vegetarian price_2
252,Restaurant 252,Mexican,East,1,4.65,33,Fine Dining,Mixed,Mexican East Fine Dining Mixed price_1
253,Restaurant 253,South Indian,Riverside,1,2.9,15,Quick Bites,Vegetarian,South Indian Riverside Quick Bites Vegetarian price_1
254,Restaurant 254,Italian,East,3,4.28,26,Premium,Vegetarian,Italian East Premium Vegetarian price_3
255,Restaurant 255,Biryani,Airport,1,4.8,32,Casual,Mixed,Biryani Airport Casual Mixed price_1
256,Restaurant 256,South Indian,Tech Park,1,3.59,28,Casual,Vegan Friendly,South Indian Tech Park Casual Vegan Friendly price_1
257,Restaurant 257,Biryani,University,2,3.93,49,Premium,Vegetarian,Biryani University Premium Vegetarian price_2
258,Restaurant 258,South Indian,Riverside,2,3.76,33,Cafe,Vegetarian,South Indian Riverside Cafe Vegetarian price_2
259,Restaurant 259,South Indian,University,2,3.7,48,Quick Bites,Mixed,South Indian University Quick Bites Mixed price_2
260,Restaurant 260,Thai,Riverside,2,3.95,36,Premium,Mixed,Thai Riverside Premium Mixed price_2
261,Restaurant 261,Cafe,Tech Park,1,4.74,35,Family,Vegetarian,Cafe Tech Park Family Vegetarian price_1
262,Restaurant 262,South Indian,Central,1,4.93,34,Quick Bites,Vegetarian,South Indian Central Quick Bites Vegetarian price_1
263,Restaurant 263,Chinese,West,3,3.95,35,Quick Bites,Mixed,Chinese West Quick Bites Mixed price_3
264,Restaurant 264,Fast Food,North,2,4.96,52,Fine Dining,Vegetarian,Fast Food North Fine Dining Vegetarian price_2
265,Restaurant 265,Fast Food,Riverside,2,4.12,15,Cafe,Vegetarian,Fast Food Riverside Cafe Vegetarian price_2
266,Restaurant 266,Thai,South,3,4.89,15,Quick Bites,Vegetarian,Thai South Quick Bites Vegetarian price_3
267,Restaurant 267,Mexican,South,3,4.06,30,Fine Dining,Vegetarian,Mexican South Fine Dining Vegetarian price_3
268,Restaurant 268,Italian,South,1,4.16,35,Premium,Vegetarian,Italian South Premium Vegetarian price_1
269,Restaurant 269,Biryani,Market,2,4.26,42,Fine Dining,Mixed,Biryani Market Fine Dining Mixed price_2
270,Restaurant 270,Thai,Tech Park,2,5.0,40,Premium,Mixed,Thai Tech Park Premium Mixed price_2
271,Restaurant 271,Chinese,Airport,2,4.48,31,Casual,Mixed,Chinese Airport Casual Mixed price_2
272,Restaurant 272,North Indian,West,3,3.78,45,Premium,Vegan Friendly,North Indian West Premium Vegan Friendly price_3
273,Restaurant 273,South Indian,South,2,4.54,45,Casual,Vegetarian,South Indian South Casual Vegetarian price_2
274,Restaurant 274,Fast Food,Central,3,3.94,37,Casual,Vegetarian,Fast Food Central Casual Vegetarian price_3
275,Restaurant 275,Mexican,Central,3,3.88,45,Fine Dining,Vegan Friendly,Mexican Central Fine Dining Vegan Friendly price_3
276,Restaurant 276,Mexican,East,2,4.51,38,Cafe,Vegetarian,Mexican East Cafe Vegetarian price_2
277,Restaurant 277,Mexican,Airport,3,4.11,29,Family,Mixed,Mexican Airport Family Mixed price_3
278,Restaurant 278,Cafe,Tech Park,2,4.23,42,Fine Dining,Mixed,Cafe Tech Park Fine Dining Mixed price_2
279,Restaurant 279,North Indian,Riverside,3,4.11,36,Casual,Vegetarian,North Indian Riverside Casual Vegetarian price_3
280,Restaurant 280,North Indian,North,2,4.25,35,Family,Vegetarian,North Indian North Family Vegetarian price_2
281,Restaurant 281,Chinese,Central,2,4.29,50,Cafe,Vegetarian,Chinese Central Cafe Vegetarian price_2
282,Restaurant 282,Mexican,Riverside,2,3.23,15,Family,Vegetarian,Mexican Riverside Family Vegetarian price_2
283,Restaurant 283,Biryani,North,1,4.4,21,Cafe,Vegetarian,Biryani North Cafe Vegetarian price_1
284,Restaurant 284,Mexican,Central,2,3.66,23,Fine Dining,Vegetarian,Mexican Central Fine Dining Vegetarian price_2
285,Restaurant 285,Mexican,West,4,3.45,31,Casual,Mixed,Mexican West Casual Mixed price_4
286,Restaurant 286,Fast Food,Airport,2,4.07,32,Casual,Vegan Friendly,Fast Food Airport Casual Vegan Friendly price_2
287,Restaurant 287,South Indian,Market,1,4.14,20,Fine Dining,Mixed,South Indian Market Fine Dining Mixed price_1
288,Restaurant 288,Thai,Central,2,3.79,25,Quick Bites,Vegetarian,Thai Central Quick Bites Vegetarian price_2
289,Restaurant 289,Thai,Riverside,1,4.47,26,Quick Bites,Vegetarian,Thai Riverside Quick Bites Vegetarian price_1
290,Restaurant 290,Mexican,Riverside,1,3.5,60,Premium,Vegetarian,Mexican Riverside Premium Vegetarian price_1
291,Restaurant 291,Desserts,Riverside,4,3.92,53,Premium,Vegetarian,Desserts Riverside Premium Vegetarian price_4
292,Restaurant 292,Chinese,Airport,2,3.84,31,Cafe,Vegan Friendly,Chinese Airport Cafe Vegan Friendly price_2
293,Restaurant 293,Fast Food,South,2,4.08,31,Quick Bites,Vegetarian,Fast Food South Quick Bites Vegetarian price_2
294,Restaurant 294,Italian,Airport,2,4.23,24,Casual,Vegetarian,Italian Airport Casual Vegetarian price_2
295,Restaurant 295,Thai,East,1,3.65,16,Quick Bites,Mixed,Thai East Quick Bites Mixed price_1
296,Restaurant 296,Thai,Riverside,1,4.43,34,Cafe,Vegetarian,Thai Riverside Cafe Vegetarian price_1
297,Restaurant 297,Desserts,Tech Park,3,4.13,25,Casual,Vegetarian,Desserts Tech Park Casual Vegetarian price_3
298,Restaurant 298,Mexican,University,2,3.25,34,Premium,Vegetarian,Mexican University Premium Vegetarian price_2
299,Restaurant 299,Chinese,Market,4,3.22,19,Cafe,Mixed,Chinese Market Cafe Mixed price_4
300,Restaurant 300,North Indian,Market,2,4.09,27,Quick Bites,Mixed,North Indian Market Quick Bites Mixed price_2
